DATE_TIME,LAT_DEG,LON_DEG,POS_STRING,ALT,ALT_UNITS,DATUM,HDG_DEG,HDG_MILS,HDG_TYPE,VERT,HORIZ,VH_UNITS,NOTE
2024.10.14_12.21.38,33.753739,-84.334075,"+033.753739d / -084.334075d",1000,FEET,WGE,360,6400,TRUE,37.4,3.6,DEG
2024.10.14_12.21.39,33.753741,-84.334073,"+033.753741d / -084.334073d",1000,FEET,WGE,6,107,TRUE,49.9,2.6,DEG
2024.10.14_12.21.40,33.753740,-84.334074,"+033.753740d / -084.334074d",1000,FEET,WGE,12,213,TRUE,49.6,1.8,DEG
2024.10.14_12.21.41,33.753736,-84.334076,"+033.753736d / -084.334076d",1000,FEET,WGE,22,391,TRUE,48.5,0.0,DEG
2024.10.14_12.21.42,33.753733,-84.334073,"+033.753733d / -084.334073d",1000,FEET,WGE,32,569,TRUE,45.8,-0.7,DEG
2024.10.14_12.21.43,33.753730,-84.334074,"+033.753730d / -084.334074d",1000,FEET,WGE,46,818,TRUE,43.1,-1.8,DEG
2024.10.14_12.21.44,33.753725,-84.334070,"+033.753725d / -084.334070d",1001,FEET,WGE,54,960,TRUE,36.4,-2.4,DEG
2024.10.14_12.21.45,33.753721,-84.334066,"+033.753721d / -084.334066d",1001,FEET,WGE,61,1084,TRUE,29.7,-2.3,DEG
2024.10.14_12.21.46,33.753717,-84.334062,"+033.753717d / -084.334062d",1002,FEET,WGE,72,1280,TRUE,30.4,-2.4,DEG
2024.10.14_12.21.47,33.753720,-84.334059,"+033.753720d / -084.334059d",1001,FEET,WGE,78,1387,TRUE,34.0,-1.9,DEG
2024.10.14_12.21.48,33.753722,-84.334062,"+033.753722d / -084.334062d",1001,FEET,WGE,85,1511,TRUE,36.2,-3.0,DEG
2024.10.14_12.21.49,33.753724,-84.334066,"+033.753724d / -084.334066d",1001,FEET,WGE,92,1636,TRUE,35.3,-3.8,DEG
2024.10.14_12.21.50,33.753725,-84.334068,"+033.753725d / -084.334068d",1000,FEET,WGE,100,1778,TRUE,32.6,-4.4,DEG
2024.10.14_12.21.51,33.753719,-84.334058,"+033.753719d / -084.334058d",1001,FEET,WGE,105,1867,TRUE,32.9,-5.3,DEG
2024.10.14_12.21.52,33.753717,-84.334053,"+033.753717d / -084.334053d",1000,FEET,WGE,113,2009,TRUE,32.3,-3.3,DEG
2024.10.14_12.21.53,33.753714,-84.334049,"+033.753714d / -084.334049d",1000,FEET,WGE,126,2240,TRUE,30.8,-5.3,DEG
2024.10.14_12.21.54,33.753712,-84.334048,"+033.753712d / -084.334048d",1000,FEET,WGE,138,2453,TRUE,29.2,-6.2,DEG
2024.10.14_12.21.55,33.753712,-84.334052,"+033.753712d / -084.334052d",1000,FEET,WGE,145,2578,TRUE,26.1,-6.9,DEG
2024.10.14_12.21.56,33.753712,-84.334054,"+033.753712d / -084.334054d",1000,FEET,WGE,154,2738,TRUE,23.1,-6.1,DEG
2024.10.14_12.21.57,33.753707,-84.334061,"+033.753707d / -084.334061d",999,FEET,WGE,159,2827,TRUE,21.0,-5.5,DEG
2024.10.14_12.21.58,33.753706,-84.334064,"+033.753706d / -084.334064d",999,FEET,WGE,162,2880,TRUE,19.4,-5.1,DEG
2024.10.14_12.21.59,33.753704,-84.334064,"+033.753704d / -084.334064d",999,FEET,WGE,166,2951,TRUE,17.5,-4.6,DEG
2024.10.14_12.22.00,33.753710,-84.334067,"+033.753710d / -084.334067d",999,FEET,WGE,171,3040,TRUE,18.4,-3.7,DEG
2024.10.14_12.22.01,33.753711,-84.334065,"+033.753711d / -084.334065d",999,FEET,WGE,168,2987,TRUE,23.8,-2.2,DEG
2024.10.14_12.22.02,33.753719,-84.334060,"+033.753719d / -084.334060d",999,FEET,WGE,174,3093,TRUE,27.2,-2.4,DEG
2024.10.14_12.22.03,33.753722,-84.334059,"+033.753722d / -084.334059d",999,FEET,WGE,184,3271,TRUE,27.6,-1.9,DEG
2024.10.14_12.22.04,33.753723,-84.334063,"+033.753723d / -084.334063d",998,FEET,WGE,191,3396,TRUE,27.6,-1.8,DEG
2024.10.14_12.22.05,33.753721,-84.334069,"+033.753721d / -084.334069d",998,FEET,WGE,197,3502,TRUE,29.4,-3.1,DEG
2024.10.14_12.22.06,33.753720,-84.334072,"+033.753720d / -084.334072d",998,FEET,WGE,202,3591,TRUE,34.6,-3.3,DEG
2024.10.14_12.22.07,33.753719,-84.334069,"+033.753719d / -084.334069d",998,FEET,WGE,207,3680,TRUE,40.0,-3.9,DEG
2024.10.14_12.22.08,33.753714,-84.334075,"+033.753714d / -084.334075d",998,FEET,WGE,218,3876,TRUE,44.1,-7.0,DEG
2024.10.14_12.22.09,33.753714,-84.334080,"+033.753714d / -084.334080d",999,FEET,WGE,227,4036,TRUE,42.3,-6.9,DEG
